iso3,country_name_ghg,year,ghg_per_capita,region,gdp_per_capita_ppp,renewable_pct,electricity_access_pct,fossil_fuel_pct,log_gdp,energy_poverty_flag,green_by_choice_flag
CHL,Chile,2018,5.672374,Latin America & Caribbean,24740.4961524432,25.4606990814209,100.0,,4.39340840483666,0,1
COL,Colombia,2018,3.619326,Latin America & Caribbean,14865.8932403218,30.7182006835938,98.5,,4.17219100958454,0,1
CRI,Costa Rica,2018,3.200677,Latin America & Caribbean,20994.3957642254,35.7047996520996,99.7,,4.322103379805637,0,1
CZE,Czechia,2018,11.98083,Europe & Central Asia,41134.0898758874,14.7252998352051,100.0,,4.614201892641298,0,0
DNK,Denmark,2018,8.580415,Europe & Central Asia,57462.7760122823,35.3287010192871,100.0,,4.759386602820115,0,0
EST,Estonia,2018,15.09539,Europe & Central Asia,36326.7982301075,28.8421993255615,100.0,,4.560227121719769,0,0
FIN,Finland,2018,10.1648,Europe & Central Asia,49755.1395203306,44.2167015075684,100.0,,4.696837948398995,0,0
FRA,France,2018,6.790996,Europe & Central Asia,46569.0197507959,15.2525997161865,100.0,,4.668097096397393,0,0
DEU,Germany,2018,10.22998,Europe & Central Asia,54954.8467481602,15.795599937439,100.0,,4.7400060010935725,0,0
GRC,Greece,2018,8.667607,Europe & Central Asia,29680.9418343832,17.8591003417969,100.0,,4.472477677839661,0,0
HUN,Hungary,2018,6.668178,Europe & Central Asia,31831.9811391526,13.5340995788574,100.0,,4.5028636688134895,0,0
ISL,Iceland,2018,14.01085,Europe & Central Asia,58222.338063421,78.2135009765625,100.0,,4.765089641632742,0,0
IRL,Ireland,2018,12.64129,Europe & Central Asia,84910.5524517801,10.7444000244141,100.0,,4.928961666531273,0,0
ISR,Israel,2018,9.441315,Middle East & North Africa,40343.0969507207,3.71539998054504,100.0,,4.605769233911034,0,0
ITA,Italy,2018,7.105342,Europe & Central Asia,43123.6057513919,17.0743007659912,100.0,,4.634715066938945,0,0
JPN,Japan,2018,9.639091,East Asia & Pacific,41695.6379442744,7.38770008087158,100.0,,4.620090622939665,0,0
KOR,Korea,2018,15.17932,East Asia & Pacific,42487.0419465669,3.18400001525879,100.0,,4.628256495481066,0,0
LVA,Latvia,2018,5.843408,Europe & Central Asia,30799.4284233858,41.2528991699219,100.0,,4.48854265692665,0,1
LTU,Lithuania,2018,6.951449,Europe & Central Asia,36346.3975289681,33.4990997314453,100.0,,4.560461372256346,0,0
LUX,Luxembourg,2018,17.40738,Europe & Central Asia,116644.848056492,16.0277004241943,100.0,,5.06686556173202,0,0
MEX,Mexico,2018,6.075221,North America,20257.8260935189,9.62530040740967,99.5,,4.306592838544274,0,0
NLD,Netherlands,2018,10.73006,Europe & Central Asia,57901.0970130477,7.38369989395142,100.0,,4.762686792090129,0,0
NZL,New Zealand,2018,16.9124,East Asia & Pacific,43930.881423072,31.0396003723145,100.0,,4.642769916976592,0,0
NOR,Norway,2018,9.944004,Europe & Central Asia,69710.484509237,60.8138008117676,100.0,,4.843298101226779,0,0
POL,Poland,2018,10.67059,Europe & Central Asia,31978.5311498844,11.2637996673584,100.0,,4.504858511688197,0,0
PRT,Portugal,2018,6.491846,Europe & Central Asia,34931.7846000824,27.6138000488281,100.0,,4.543220773503954,0,1
SVK,Slovak Republic,2018,7.707138,Europe & Central Asia,31505.0626312076,12.4203996658325,100.0,,4.498380347317621,0,0
SVN,Slovenia,2018,8.531396,Europe & Central Asia,38915.6419586224,21.0060997009277,100.0,,4.590124199034764,0,0
ESP,Spain,2018,6.955995,Europe & Central Asia,40720.1908040246,17.3889007568359,100.0,,4.609809804322339,0,0
SWE,Sweden,2018,5.05477,Europe & Central Asia,53553.312449047,52.4827995300293,100.0,,4.728786338545118,0,1
CHE,Switzerland,2018,5.508288,Europe & Central Asia,71705.6099676226,24.2031002044678,100.0,,4.855553134505643,0,1
