iso3,country_name_ghg,year,ghg_per_capita,region,ghg_change_pct,ghg_change_abs
HRV,Croatia,2022,6.276711,,13.3,0.766
CUB,Cuba,2022,4.466265,,,
CYP,Cyprus,2022,6.261792,,-8.21,-0.565
EGY,Egypt,2022,3.429381,,,
GEO,Georgia,2022,5.296077,,,
GHA,Ghana,2022,1.446825,,,
GTM,Guatemala,2022,1.847079,,,
GNB,Guinea-Bissau,2022,0.7657315,,,
GUY,Guyana,2022,10.29586,,,
VAT,Holy See,2022,31.39618,,,
IDN,Indonesia,2022,3.839404,,,
KAZ,Kazakhstan,2022,17.19394,,-17.1,-3.509
KEN,Kenya,2022,1.222736,,,
LBN,Lebanon,2022,3.571952,,,
LIE,Liechtenstein,2022,4.195264,,-21.1,-1.13
MDV,Maldives,2022,4.502358,,,
MLT,Malta,2022,4.278131,,-35.66,-2.336
MUS,Mauritius,2022,4.624897,,,
MDA,Moldova,2022,4.260492,,,
MCO,Monaco,2022,1.671067,,-34.6,-0.812
MAR,Morocco,2022,2.655225,,,
NAM,Namibia,2022,4.355369,,,
NPL,Nepal,2022,1.959157,,,
NGA,Nigeria,2022,1.472081,,,
ROU,Romania,2022,5.721738,,-8.16,-0.482
RUS,Russia,2022,13.91034,,4.84,0.662
RWA,Rwanda,2022,0.9296069,,,
SRB,Serbia,2022,9.226242,,20.37,1.552
SGP,Singapore,2022,10.36283,,,
SLB,Solomon Islands,2022,0.7385193,,,
ZAF,South Africa,2022,7.626128,,,
THA,Thailand,2022,5.356871,,,
UKR,Ukraine,2022,5.826824,,-23.14,-1.858
URY,Uruguay,2022,11.06299,,,
UZB,Uzbekistan,2022,5.999439,,,
VEN,Venezuela,2022,5.68212,,,
AUS,Australia,2018,22.44748,East Asia & Pacific,-12.36,-2.811
AUT,Austria,2018,8.984918,Europe & Central Asia,-16.71,-1.509
BEL,Belgium,2018,10.26945,Europe & Central Asia,-17.9,-1.829
CAN,Canada,2018,20.0309,North America,-15.83,-3.32
CHL,Chile,2018,5.672374,Latin America & Caribbean,,
COL,Colombia,2018,3.619326,Latin America & Caribbean,,
CRI,Costa Rica,2018,3.200677,Latin America & Caribbean,,
CZE,Czechia,2018,11.98083,Europe & Central Asia,-20.76,-2.474
DNK,Denmark,2018,8.580415,Europe & Central Asia,-30.06,-2.819
EST,Estonia,2018,15.09539,Europe & Central Asia,-50.24,-8.021
FIN,Finland,2018,10.1648,Europe & Central Asia,-31.68,-3.399
FRA,France,2018,6.790996,Europe & Central Asia,-19.77,-1.393
DEU,Germany,2018,10.22998,Europe & Central Asia,-27.61,-3.032
